ID,Nombre,Cantidad,Precio_COP,Stock_Minimo
1,Collar minimalista de plata,80,95000,20
2,Aretes de topo pequeños (Plata),110,59000,30
3,Anillo ajustable,12,55000,25
4,Dije letra inicial,10,50000,30
5,Brazalete de puño dorado,100,75000,35
6,Collar largo serpiente,25,82000,15
7,Aretes de perlas clásicos (Par),150,39000,40
8,Cadena de eslabones (45cm, Acero),60,22000,15
9,Pulsera rigida de cristal,90,49000,25
10,Earcuff (Set 2u, Fantasía),18,32000,20
11,Tobillera de cadena fina,8,35000,20
12,Set de aros (3 tamaños, Acero),45,28000,50
13,Gargantilla de perlas sinteticas,18,45000,30
14,Broche vintage de cristal,55,62000,15
15,Brazalete (Acero),70,38000,20
